Date,accountCAD,accountUSD,accountUSD_CADHDG,portfolio
2017-07-27,75698.51524326338,61520.815811196015,76605.72218319999,152304.23742646337
2017-07-28,75419.17652535083,61596.52506919239,77240.81300401925,152659.9895293701
2017-07-31,75467.00500600642,61638.53715501612,76810.24688786297,152277.2518938694
2017-08-01,75844.62914543686,61842.74036479062,77346.71518551456,153191.34433095143
2017-08-02,76009.2617443179,61847.56749187065,77597.05035313523,153606.31209745313
2017-08-03,75885.69831166172,61803.82360600236,77699.76720250018,153585.46551416192
2017-08-04,76219.33155021654,61827.15811046318,77706.22570814505,153925.5572583616
2017-08-07,76219.33155021654,61959.728611737606,78323.29018453138,154542.6217347479
2017-08-08,76231.55863975655,61760.90509072655,78281.9498529864,154513.50849274296
2017-08-09,75998.24707749841,61643.17869954067,78106.83574617263,154105.08282367105
2017-08-10,75236.54144804005,60969.75786696872,77402.3297098673,152638.87115790736
2017-08-11,75145.73927377432,61045.64937548106,77768.49256038385,152914.23183415818
2017-08-14,75644.95563475585,61384.1473372803,77795.81125062692,153440.76688538276
2017-08-15,75748.54027798948,61323.508652945115,78059.30733158048,153807.84760956996
2017-08-16,75822.27310376562,61607.94284302485,78567.99418973188,154390.2672934975
2017-08-17,75382.83335501511,61105.00515775971,77142.01252599913,152524.84588101425
2017-08-18,75393.47641401802,61217.2476052596,77647.95403685555,153041.43045087357
2017-08-21,75363.87343334088,61288.27901844039,77135.58661687818,152499.46005021906
2017-08-22,75678.30777366215,61589.115124766446,77346.07088226297,153024.3786559251
2017-08-23,75821.43028726042,61675.897918982315,77497.61887778688,153319.0491650473
2017-08-24,75857.36954826034,61641.74665138097,77319.09448275597,153176.4640310163
2017-08-25,75879.33027081935,61900.76415175038,77455.80492982198,153335.13520064135
2017-08-28,75807.68565395832,61911.16548423788,77214.36644283617,153022.05209679448
2017-08-29,75837.9914798651,61854.48270001255,77405.93804292752,153243.92952279263
2017-08-30,76063.12949249116,61938.22633087433,77512.58978582516,153575.7192783163
2017-08-31,76069.19592505586,62208.94091645227,78553.71904716262,154622.91497221848
2017-09-01,76118.1995142535,62299.48562573828,77699.91923291255,153818.11874716607
2017-09-05,75579.18700925195,62110.60062832548,77097.26579303284,152676.4528022848
2017-09-06,75541.41807733403,62260.1587251123,77003.98497952637,152545.4030568604
2017-09-07,75480.3781622427,62489.21714771023,76444.30957882157,151924.6877410643
2017-09-08,75296.28876249545,62340.96621749001,75486.80748077414,150783.09624326957
2017-09-11,75724.93450134111,62677.18529339945,76161.55400256197,151886.4885039031
2017-09-12,75905.7333143556,62721.53180789138,75938.83748534055,151844.57079969614
2017-09-13,75815.02608829811,62548.567406170514,76146.62313281637,151961.64922111447
2017-09-14,75897.5523349554,62626.17746215373,76211.04901679668,152108.60135175206
2017-09-15,75973.35385135502,62772.68609607292,76350.41876913811,152323.77262049314
2017-09-18,76319.54041061398,62763.846294684176,76559.33942294568,152878.87983355965
2017-09-19,76411.92015988176,62844.557441736724,77173.74865433875,153585.66881422052
2017-09-20,76543.76968693215,62772.008992161434,77144.91908065337,153688.68876758553
2017-09-21,76637.630373306,62702.40333822064,77408.62411780993,154046.25449111592
2017-09-22,76558.70992440362,62704.49962108276,77276.40117993826,153835.11110434186
2017-09-25,76415.94478349978,62427.261872887306,77072.69425764059,153488.63904114038
2017-09-26,76377.62141646085,62401.371112268665,77191.74507403302,153569.36649049388
2017-09-27,76611.69163480238,62337.39988600154,77072.08906863615,153683.78070343853
2017-09-28,76593.72656394338,62407.680328474824,77894.77056684949,154488.49713079288
2017-09-29,76989.78423108399,62662.9126244902,77929.4812614065,154919.2654924905
2017-10-02,81989.78423108399,66671.506871093,83160.70768149653,165150.4919125805
2017-10-03,82308.7282354151,66974.90334668543,83832.48944439499,166141.21767981007
2017-10-04,82248.55239103228,66961.45929407532,83636.20057709058,165884.75296812286
2017-10-05,82615.86247265691,67099.31614297393,83733.23722912975,166349.09970178665
2017-10-06,82384.16951620605,66997.07230015453,84207.28324327462,166591.4527594807
2017-10-09,82384.16951620605,66946.87328104378,83926.61156817897,166310.781084385
2017-10-10,82682.46387077341,67253.0411611976,84421.39870948209,167103.8625802555
2017-10-11,82750.47387272201,67340.93666274988,84230.04448971032,166980.5183624323
2017-10-12,82706.43363102658,67313.36490435325,83794.37091107204,166500.8045420986
2017-10-13,83052.24889816716,67585.47568774995,84312.87705319612,167365.1259513633
2017-10-16,83184.93452544014,67550.20366180905,84282.38748543261,167467.32201087277
2017-10-17,83186.58475605008,67462.25943605468,84482.98911306428,167669.57386911436
2017-10-18,83095.7616934352,67504.11923522066,84366.6459798611,167462.4076732963
2017-10-19,82961.44345168695,67408.29798908925,84029.83642352384,166991.27987521078
2017-10-20,83266.98770613513,67465.48712405137,84201.65062300616,167468.6383291413
2017-10-23,83181.87347971639,67263.72175934965,85001.16575178977,168183.03923150618
2017-10-24,83360.01584523388,67296.59359935371,85056.167448429,168416.18329366288
2017-10-25,83246.4751546466,67079.84645680676,84996.87187170061,168243.3470263472
2017-10-26,83439.35802244891,67001.47553407696,85714.98593828935,169154.34396073828
2017-10-27,83825.43560716757,67386.38783800651,86578.03464168041,170403.47024884797
2017-10-30,83727.35034154795,67307.25687002623,86363.96385317798,170091.31419472594
2017-10-31,84082.86779892196,67451.53797054246,86501.87939812131,170584.74719704327
2017-11-01,84249.69914715351,67521.02169362281,87042.69670905411,171292.39585620764
2017-11-02,84237.66299987664,67613.04374007921,87047.0641469652,171284.72714684185
2017-11-03,84158.05318862724,67573.51063194693,86544.77619070465,170702.8293793319
2017-11-06,84314.50999781358,67764.19587967111,86467.1154934597,170781.6254912733
2017-11-07,84345.59525715689,67575.08708917978,85912.26540517379,170257.8606623307
2017-11-08,84252.18083737376,67629.2835885447,86304.43224050371,170556.61307787747
2017-11-09,83819.30051123086,67373.67584459424,85751.86320408674,169571.1637153176
2017-11-10,83612.6403971104,67209.84341595741,85210.6567343701,168823.2971314805
2017-11-13,83568.49043226299,67124.19386737756,85192.68836198935,168761.17879425234
2017-11-14,83240.41265367623,66975.54031104216,85304.73362266939,168545.14627634562
2017-11-15,83171.13014089125,66800.913757426,85070.96137665464,168242.0915175459
2017-11-16,83738.46421476017,67322.43765911255,85735.12204754735,169473.58626230754
2017-11-17,83826.19555819393,67341.27550953417,85913.32427419862,169739.51983239254
2017-11-20,84045.61582891585,67451.19704866486,86283.56842142194,170329.18425033777
2017-11-21,84531.58721374543,67867.30654960075,86960.41518406569,171492.0023978111
2017-11-22,84422.66776398456,68017.21291640989,86885.18892106833,171307.8566850529
2017-11-23,84490.6964024244,68017.21291640989,86415.86524805515,170906.56165047956
2017-11-24,84620.01173373863,68096.27510275388,86568.07226131293,171188.08399505157
2017-11-27,84215.47927144342,67829.81362473185,86238.82333473272,170454.30260617612
2017-11-28,84597.69311354737,68168.01241326256,86971.47995820233,171569.17307174968
2017-11-29,84221.53969007806,67845.85232633309,86942.42038716635,171163.9600772444
2017-11-30,84135.06953712908,67841.38406938859,87257.59134733857,171392.66088446765
2017-12-01,83717.10914218631,67685.04775929687,87255.50152341541,170972.61066560174
2017-12-04,83656.80046630692,67670.54824056856,86064.08366476603,169720.88413107296
2017-12-05,83614.56257524714,67579.13926427934,85670.07193225519,169284.6345075023
2017-12-06,83594.59412735014,67402.82475870031,85561.14578726239,169155.73991461252
2017-12-07,83872.0748000535,67481.94551252491,86288.48759197796,170160.56239203145
2017-12-08,84311.94057778834,67770.98421768175,87139.9301627611,171451.87074054944
2017-12-11,84477.32435890651,67930.314700834,87358.38561224008,171835.7099711466
2017-12-12,84391.41545314225,67847.11011672141,87203.89174593163,171595.3071990739
2017-12-13,84552.61169384608,68120.71737501677,87657.74095018397,172210.35264403006
2017-12-14,84114.39896179187,67888.1838569736,87005.49632750821,171119.89528930007
2017-12-15,84457.3115452655,68057.80530910485,87076.56301386202,171533.87455912752
2017-12-18,84832.69829937011,68419.91406662576,88086.53022220764,172919.22852157775
2017-12-19,84531.95621062713,68170.91984377516,87701.20418372672,172233.16039435385
2017-12-20,84341.9306446005,68122.06084359661,87728.95114045245,172070.88178505294
2017-12-21,84477.40709080276,68378.77455364096,87705.35004752534,172182.7571383281
2017-12-22,84633.82531198465,68540.92496138201,87293.72081501374,171927.54612699838
2017-12-26,84633.82531198465,68569.46869177563,87189.51198246825,171823.33729445288
2017-12-27,84664.59534136204,68688.63571715937,87145.27238328512,171809.86772464716
2017-12-28,84682.70274296877,68774.05050035105,86997.10687568707,171679.80961865583
2017-12-29,84708.27547486196,68838.37308800855,86498.85456569638,171207.13004055835
2018-01-02,84703.27547486196,68833.37308800855,86420.29708927608,171123.57256413804
2018-01-03,85193.09306028049,69163.36181767427,86481.17963470978,171674.27269499027
2018-01-04,85412.53631739998,69465.35990929871,87157.49597280497,172570.03229020495
2018-01-05,85491.06683282452,69726.4794235093,87090.46417674872,172581.53100957326
2018-01-08,85484.5043530214,69749.03848430113,86441.38114682875,171925.88549985015
2018-01-09,85460.3570802676,69689.84068975838,86517.14723275509,171977.50431302268
2018-01-10,85241.03338460487,69574.32503042667,86781.45099044296,172022.48437504785
2018-01-11,85472.03036938407,69945.63680196455,87646.07847972361,173118.1088491077
2018-01-12,85530.78407064077,70287.07349792845,87992.38433588126,173523.16840652202
2018-01-15,85690.5170989419,70287.07349792845,87580.50412024384,173271.02121918573
2018-01-16,85285.4766326804,70157.06301049257,87166.64285709811,172452.1194897785
2018-01-17,85613.63179005717,70487.2590300994,87581.82730735463,173195.4590974118
2018-01-18,85461.50196106666,70380.05319590194,87535.1894844118,172996.69144547847
2018-01-19,85794.12982673485,70607.91888023948,87633.60596389031,173427.73579062516
2018-01-22,85788.80213956346,70902.69687998395,88529.81774695395,174318.6198865174
2018-01-23,85929.74857708477,71127.32295790888,88567.74524691372,174497.4938239985
2018-01-24,85665.65424325707,71194.9215973863,88383.51466362158,174049.16890687865
2018-01-25,85593.84910853524,71161.48767726708,87902.22738188463,173496.07649041986
2018-01-26,85904.78127768004,71588.7641358095,88598.25226879871,174503.03354647875
2018-01-29,85344.5657656781,71082.89522079565,87524.36862776394,172868.93439344203
2018-01-30,84768.81756564409,70555.06851815153,87024.03362633973,171792.85119198382
2018-01-31,84751.05780645573,70636.25136250065,87137.58844414663,171888.64625060238
2018-02-01,84356.44395087674,70477.53062911828,86701.46186319238,171057.90581406912
2018-02-02,83576.78526332376,69424.1722163627,85118.20286779889,168694.98813112266
2018-02-05,82006.34831716017,67814.40257086669,84306.86151214136,166313.20982930152
2018-02-06,82925.4438887705,68608.88990094821,86007.41745080159,168932.8613395721
2018-02-07,82286.27790517709,68012.79252371937,85045.23533298358,167331.51323816067
2018-02-08,80952.53083601582,66606.40467694175,83690.94785770221,164643.47869371803
2018-02-09,81172.30469192428,66950.39369395116,84294.5643724703,165466.86906439456
2018-02-12,81783.03081125784,67578.38986360974,85060.92021070488,166843.9510219627
2018-02-13,81707.43253595772,67637.58833068314,85067.79257295126,166775.22510890898
2018-02-14,82184.99393207002,68256.16541215563,85927.6898009385,168112.6837330085
2018-02-15,82528.4812135188,68847.75786182724,85944.03195687376,168472.51317039254
2018-02-16,82986.83847140233,68974.39558173383,86093.84463026913,169080.68310167146
2018-02-20,82748.77076685919,68561.45047077736,86161.17747434592,168909.94824120513
2018-02-21,82776.5503876295,68281.57445581017,86355.71097810571,169132.2613657352
2018-02-22,82866.1255505313,68417.16396775105,86874.06408433784,169740.18963486914
2018-02-23,83541.62862054765,69085.2664355807,87821.18666075772,171362.81528130537
2018-02-26,83917.26153707586,69537.54428291417,87954.56430541002,171871.82584248588
2018-02-27,83379.66999408338,68734.17092785324,87182.4192322684,170562.08922635176
2018-02-28,82903.91619419529,68303.35872794132,87230.90113880787,170134.81733300316
2018-03-01,82400.77732504261,67814.77482118376,87026.70338658096,169427.48071162356
2018-03-02,82450.14615255498,68005.75396309921,87265.66620465173,169715.8123572067
2018-03-05,82855.439068776,68284.34364938785,88005.54594423619,170860.9850130122
2018-03-06,82957.07753933838,68482.7758189957,88889.95575314398,171847.03329248237
2018-03-07,82779.87562849492,68465.06982689844,88654.73742574031,171434.61305423523
2018-03-08,83082.83691039825,68613.04688915086,88553.36847431972,171636.20538471796
2018-03-09,83387.58071685168,69139.87533703173,89163.4765877599,172551.05730461158
2018-03-12,83519.46741681678,69200.02442521203,88660.45247479426,172179.91989161103
2018-03-13,83421.3060831581,68884.07378202557,88461.61409498876,171882.92017814686
2018-03-14,83533.59272814833,68876.36413686504,89243.10184608918,172776.6945742375
2018-03-15,83721.98313622041,68819.13268652133,89134.53998614583,172856.52312236623
2018-03-16,83790.34929302298,68824.54454701471,89827.73488112251,173618.08417414548
2018-03-19,83103.38098334151,68318.7851446606,89442.95682120629,172546.3378045478
